epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
19,0.9606013298034668,0.9891241192817688,0.0001250000059371814,0.11936942487955093,0.9683710932731628,0.952306866645813,0.9673439860343933,0.9924147129058838,0.10333443433046341,0.9801192879676819,0.9540396928787231
20,0.9598755836486816,0.9893276691436768,0.0001250000059371814,0.11767217516899109,0.9694147706031799,0.9497148990631104,0.9675858616828918,0.9909167885780334,0.10387363284826279,0.9777557849884033,0.9569424390792847
21,0.9601348042488098,0.9896910190582275,0.0001250000059371814,0.1172427088022232,0.9689348936080933,0.9507516622543335,0.9663763642311096,0.9910147786140442,0.1015673577785492,0.9730127453804016,0.9593613743782043
22,0.9601866006851196,0.9902133345603943,0.0001250000059371814,0.1144799217581749,0.9665720462799072,0.9533436894416809,0.9661344885826111,0.992156445980072,0.10261572152376175,0.9762728810310364,0.9554910659790039
23,0.9614307880401611,0.9898696541786194,0.0001250000059371814,0.11529940366744995,0.9682272672653198,0.9541731476783752,0.9680696725845337,0.9925053715705872,0.10105001926422119,0.9796727895736694,0.955974817276001
24,0.9623638987541199,0.990545392036438,0.0001250000059371814,0.11188176274299622,0.9714557528495789,0.9527215957641602,0.96710205078125,0.9920594692230225,0.10931641608476639,0.9849321842193604,0.9487179517745972
25,0.9614307880401611,0.9902321100234985,0.0001250000059371814,0.11243455111980438,0.9685230255126953,0.9538621306419373,0.9690372347831726,0.9928516745567322,0.09663444757461548,0.9782930612564087,0.9593613743782043
26,0.9620010256767273,0.9905051589012146,0.0001250000059371814,0.11155147105455399,0.9710359573364258,0.9524105787277222,0.9675858616828918,0.9925308227539062,0.09477870911359787,0.9740068912506104,0.9608127474784851
27,0.9613789319992065,0.9899531602859497,0.0001250000059371814,0.11424723267555237,0.9713982939720154,0.9507516622543335,0.9678277969360352,0.9927746653556824,0.09819132089614868,0.9782393574714661,0.9569424390792847
28,0.961171567440033,0.9898746609687805,0.0001250000059371814,0.11499534547328949,0.970588207244873,0.9511663913726807,0.9680696725845337,0.9924113154411316,0.10145534574985504,0.9849624037742615,0.9506531357765198
29,0.9621047377586365,0.9902361631393433,0.0001250000059371814,0.11307619512081146,0.9713409543037415,0.952306866645813,0.9641993045806885,0.9920330047607422,0.11585415154695511,0.9843513369560242,0.9433962106704712
